CODICEIDENTIFICATIVOFARMACIA;LATITUDINE.;LONGITUDINE.;INDIRIZZO;;CAP;DESCRIZIONECOMUNE;DATAINIZIOVALIDITA
0;-.;-.;Via Buggianese; 108;51019;PONTE BUGGIANESE;01/07/2017
1;45.0652154357378;7.68671719343681;Via San Francesco Da Paola; 10;10123;TORINO;01/01/2005
2;45.003342205568;7.60284957264712;Piazza Vittorio Veneto; 10;10123;TORINO;01/01/2005
2;45.003342205568;7.60284957264712;Piazza Vittorio Veneto; 10;10123;TORINO;01/02/2015
2;45.003342205568;7.60284957264712;Piazza Vittorio Veneto; 10;10123;TORINO;01/11/2009
3;45.0762083205915;7.67394938429084;Via del Carmine; 1;10122;TORINO;01/05/2011
3;45.0762083205915;7.67394938429084;Via del Carmine; 1;10122;TORINO;01/01/2005
4;45.4575945727436;7.97475968827803;Via Carlo Alberto; 24;10123;TORINO;01/01/2005
4;45.4575945727436;7.97475968827803;Via Carlo Alberto; 24;10123;TORINO;01/07/2017
5;45.0716748545467;7.68017677414661;Via San Francesco D`Assisi; 14;10122;TORINO;01/01/2005
5;45.0716748545467;7.68017677414661;Via San Francesco D`Assisi; 14;10122;TORINO;01/09/2010
6;45.0768757;6.69700785;Via Giuseppe Mazzini; 24;10123;TORINO;01/01/2005
6;45.0768757;6.69700785;Via Giuseppe Mazzini; 24;10123;TORINO;01/07/2017
7;45.003342205568;7.60284957264712;Piazza Vittorio Veneto; 11;10124;TORINO;01/01/2005
8;45.0709201;7.6859719;Piazza C. Felice; 63;10123;TORINO;01/01/2005
8;45.0709201;7.6859719;Piazza C. Felice; 63;10123;TORINO;01/09/2010
9;45.0600441248405;7.68636936789709;Corso Vittorio Emanuele II; 84;10121;TORINO;01/04/2013
9;45.0600441248405;7.68636936789709;Corso Vittorio Emanuele II; 84;10121;TORINO;01/01/2005
10;45.0755970708276;7.67936230208308;Via delle Orfane; 25;10122;TORINO;01/01/2005
10;45.0755970708276;7.67936230208308;Via delle Orfane; 25;10122;TORINO;01/09/2010
11;45.0692336846927;7.68187909649041;Via XX Settembre; 87;10122;TORINO;01/01/2005
11;45.0692336846927;7.68187909649041;Via XX Settembre; 87;10122;TORINO;01/02/2016
11;45.0692336846927;7.68187909649041;Via Xx Settembre; 87;10100;TORINO;01/04/2018
11;45.0692336846927;7.68187909649041;Via XX Settembre; 87;10122;TORINO;01/03/2013
12;45.0681742273819;7.66685123166935;Corso Vinzaglio; 31/E;10121;TORINO;01/07/2017
12;45.0681742273819;7.66685123166935;Corso Vinzaglio; 31/E;10121;TORINO;01/01/2005
13;45.0600441248405;7.68636936789709;Corso Vittorio Emanuele II; 66;10121;TORINO;01/01/2005
14;45.0647868152497;7.69541631702841;Via Po; 14;10124;TORINO;01/01/2005
14;45.0647868152497;7.69541631702841;Via Po; 14;10124;TORINO;01/10/2009
